class,seed,a_star,eps,vis,fr,rank,dropped
3,54,2,0.07,50,0.02,3,0
3,54,2,0.07,80,0.3,2,0
3,54,2,0.07,80,0.2,2,0
3,54,2,0.07,80,0.1,2,0
3,54,2,0.07,80,0.05,2,0
3,54,2,0.07,80,0.02,2,0
3,54,2,0.1,50,0.3,1,0
3,54,2,0.1,50,0.2,1,0
3,54,2,0.1,50,0.1,1,0
3,54,2,0.1,50,0.05,1,0
3,54,2,0.1,50,0.02,3,0
3,54,2,0.1,80,0.3,2,0
3,54,2,0.1,80,0.2,1,0
3,54,2,0.1,80,0.1,1,0
3,54,2,0.1,80,0.05,1,0
3,54,2,0.1,80,0.02,2,0
3,55,0,0.035,50,0.3,1,0
3,55,0,0.035,50,0.2,1,0
3,55,0,0.035,50,0.1,1,0
3,55,0,0.035,50,0.05,1,0
3,55,0,0.035,50,0.02,6,0
3,55,0,0.035,80,0.3,1,0
3,55,0,0.035,80,0.2,1,0
3,55,0,0.035,80,0.1,1,0
3,55,0,0.035,80,0.05,1,0
3,55,0,0.035,80,0.02,5,0
3,55,0,0.07,50,0.3,1,0
3,55,0,0.07,50,0.2,1,0
3,55,0,0.07,50,0.1,1,0
3,55,0,0.07,50,0.05,1,0
3,55,0,0.07,50,0.02,6,0
3,55,0,0.07,80,0.3,1,0
3,55,0,0.07,80,0.2,1,0
3,55,0,0.07,80,0.1,1,0
3,55,0,0.07,80,0.05,1,0
3,55,0,0.07,80,0.02,4,0
3,55,0,0.1,50,0.3,1,0
3,55,0,0.1,50,0.2,1,0
3,55,0,0.1,50,0.1,1,0
3,55,0,0.1,50,0.05,1,0
3,55,0,0.1,50,0.02,6,0
3,55,0,0.1,80,0.3,1,0
3,55,0,0.1,80,0.2,1,0
3,55,0,0.1,80,0.1,1,0
3,55,0,0.1,80,0.05,1,0
3,55,0,0.1,80,0.02,4,0
3,56,0,0.035,50,0.3,6,0
3,56,0,0.035,50,0.2,6,0
3,56,0,0.035,50,0.1,8,0
3,56,0,0.035,50,0.05,1,0
3,56,0,0.035,50,0.02,10,0
3,56,0,0.035,80,0.3,1,0
3,56,0,0.035,80,0.2,1,0
3,56,0,0.035,80,0.1,1,0
3,56,0,0.035,80,0.05,5,0
3,56,0,0.035,80,0.02,10,0
3,56,0,0.07,50,0.3,6,0
3,56,0,0.07,50,0.2,5,0
3,56,0,0.07,50,0.1,5,0
3,56,0,0.07,50,0.05,1,0
3,56,0,0.07,50,0.02,6,0
3,56,0,0.07,80,0.3,1,0
3,56,0,0.07,80,0.2,1,0
3,56,0,0.07,80,0.1,1,0
3,56,0,0.07,80,0.05,5,0
3,56,0,0.07,80,0.02,10,0
3,56,0,0.1,50,0.3,6,0
3,56,0,0.1,50,0.2,5,0
3,56,0,0.1,50,0.1,1,0
3,56,0,0.1,50,0.05,1,0
3,56,0,0.1,50,0.02,6,0
3,56,0,0.1,80,0.3,1,0
3,56,0,0.1,80,0.2,1,0
3,56,0,0.1,80,0.1,1,0
3,56,0,0.1,80,0.05,5,0
3,56,0,0.1,80,0.02,10,0
3,57,0,0.035,50,0.3,1,0
3,57,0,0.035,50,0.2,1,0
3,57,0,0.035,50,0.1,4,0
3,57,0,0.035,50,0.05,3,0
3,57,0,0.035,50,0.02,3,0
3,57,0,0.035,80,0.3,4,0
3,57,0,0.035,80,0.2,1,0
3,57,0,0.035,80,0.1,5,0
3,57,0,0.035,80,0.05,2,0
3,57,0,0.035,80,0.02,2,0
3,57,0,0.07,50,0.3,1,0
3,57,0,0.07,50,0.2,1,0
3,57,0,0.07,50,0.1,4,0
3,57,0,0.07,50,0.05,3,0
3,57,0,0.07,50,0.02,3,0
3,57,0,0.07,80,0.3,3,0
3,57,0,0.07,80,0.2,1,0
3,57,0,0.07,80,0.1,5,0
3,57,0,0.07,80,0.05,3,0
3,57,0,0.07,80,0.02,3,0
3,57,0,0.1,50,0.3,1,0
3,57,0,0.1,50,0.2,1,0
3,57,0,0.1,50,0.1,4,0
3,57,0,0.1,50,0.05,3,0
3,57,0,0.1,50,0.02,3,0
3,57,0,0.1,80,0.3,3,0
